compound_name	CURATE_species	CURATE_publication_doi	n_spectra	max_peaks	in_export	missing	needs_structure_too	formula	compound_class	inchikey	smiles	name_variants
3-Hydroxy-10-oxodehydrodihydrobotrydial			4	126	P3+P4	species;publication		C15H18O3	Terpenoids	OGKCRIOQDYPIOZ-OAHLLOKOSA-N	CC1=C(C=C2C3=C1C(=O)OCC3(C)CC2(C)C)O	
Akanthozine			4	149	P3+P4	species;publication		C17H28N2O7	Amino acids and Peptides	QGSUXXMTBWZQKO-DTDLKUBXSA-N	CC(C)C=1C(NC(C(C)C)=C(N1)OC2(C(C(C(C(CO)(O2)[H])(OC)[H])(O)[H])(O)[H])[H])=O	
Beauverolide I			4	80	P3	species;publication;structure	YES	C27H41N3O5		N/A		
Beauverolide Q			4	106	P3	species;publication;structure	YES	C29H42N4O5		N/A		
Cytochalasa-triene-dione			4	557	P3	species;publication;structure	YES	C28H35NO3		DJRDYUOZKZSHPE-RQJKQRGLSA-N		
Cytochalasin B2			4	70	P3	species;publication;structure	YES	C30H39NO5		N/A		
Deschlorozopfinol			4	36	P4	species;publication;structure	YES	C18H26O4		SILLWCQCJWWTBA-SQXBUMSNSA-N		
Erinacin T			4	189	P3+P4	species;publication;structure	YES	C25H38O7		QLXVRMHCIDQLSG-BMMRGBERSA-N		
Fulvoferruginin D			4	248	P4	species;publication;structure	YES	C15H20O4		MDWIEMNQCKCSKM-QIRZIZBZSA-N		
Heimionone D			4	190	P3+P4	species;publication;structure	YES	C22H30O3		LOTOIHQTQBRYJP-ABOTWDAHSA-N		
Lupallene B			4	78	P4	species;publication;structure	YES	C16H24O4		CIIGZSXCGIFGHK-GDOKRMGTSA-N		
Phomopchalasin D			4	5	P3	species;publication;structure	YES	C30H39NO5		N/A		
Phomopchalasin N			4	8	P3+P4	species;publication;structure	YES	C28H37NO3		N/A		
Rutilin C			4	237	P4	species;publication		C42H34O14	Polyketides	HVINFLOKBRBVTE-COCZKOEFSA-N	CC(=C(C1=CC=2C(=C(C(=C(C3=CC4=CC(C(C)(C(C4=CO3)=O)OC(C=5C(C)=CC(=CC5O)O)=O)=O)[H])[H])[H])C(C(C)(C(C2CO1)=O)OC(C=6C(C)=CC(=CC6O)O)=O)=O)[H])[H]	
Sordarin B			4	628	P3+P4	species;publication		C27H40O8		OGGVRVMISBQNMQ-NYNVPSEMSA-N	C[C@@H]1CC[C@@H]2[C@@H]1C[C@@]3([C@@H]4C[C@]2([C@]3(C(=C4)C(C)C)C(=O)O)C=O)CO[C@H]5[C@H]([C@@H]([C@@H]([C@H](O5)C)OC)O)O	
Viriditin A			4	254	P4	species;publication;structure	YES	C18H29NO3		DBHVIZGJTLWNTC-GKPPUABTSA-N		
10-Dehydroxy-Melleolide B			3	571	P3	species;publication;structure	YES	C24H32O6		JFKIKEXCYGLNTH-GNMVUSIZSA-N		
Akanthopyrone A			3	243	P3	species;publication		C25H42O10	Polyketides	YEZBNJMKRUSNMX-DHRDOYSISA-N	CCCCCCCCCCC(C1=CC(=C(CO)C(=O)O1)OC)(OC2(C(C(C(C(CO)(O2)[H])(OC)[H])(O)[H])(O)[H])[H])[H]	
